Dutch,English
raak,striking
verkeerde,false
jimmy,Jimmy
schelen,care
gevaarlijk,dangerous
rij,queue
voelde,felt
gestolen,stolen
kolonel,colonel
maat,measure
volg,follow
gedacht,thought
dame,Lady
dragen,to wear
prijs,price
lukt,succeed
kont,ass
geleerd,learned
harry,harry
betaald,paid
speelt,plays
hel,hell
trekken,to pull
geraakt,hit
e,e
mocht,if
stem,voice
missen,to miss
jammer,Unfortunately
seks,sex
ma,mom
bekend,known
doel,target
amerikaanse,American
camera,camera
leuke,nice
helpt,help
regels,rules
gevaar,Danger
sla,lettuce
mike,Mike
erger,worse
red,red
raar,weird
derde,third
raken,touch
arme,poor
zweer,ulcer
vertrouw,trust
paul,paul
seconden,seconds
totdat,until
rennen,run
paard,horse
tafel,table
geweldige,great
sneller,faster
steek,sting
moesten,must
wagen,car
grapje,just kidding
groep,group
kaart,Map
moordenaar,killer
wedstrijd,contest
via,through
gefeliciteerd,congratulations
gaten,holes
macht,power
dom,stupid
nadat,after
leek,layman
raad,council
band,band
tuurlijk,of course
zover,so far
arm,arm
ruimte,space
gebracht,brought
meeste,most
dromen,to dream
zodra,as soon
zwaar,heavy
kerk,church
schuldig,guilty
bob,bob
rijk,rich
ziel,soul
geprobeerd,tried
oog,eye
vlucht,flight
vanuit,from
vorige,previous
allen,all
uh,uh
herinneren,remember
vooral,mostly
meiden,girls
eind,end
oma,grandmother
viel,fell
zuster,sister
gelooft,believes
wet,law
kapot,Broken
gooi,throw
haast,rush
gedachten,thoughts
negen,nine
bewijzen,prove
eer,honour
www,www
brief,letter
dronken,drunk
drugs,drugs
teken,sign
duurt,takes
sleutel,key
peter,Peter
onmogelijk,impossible
zee,sea
ouwe,old
namen,names
regel,rule
lijn,line
kost,costs
